group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,8,9,9,1,5,1
g2,4,4,3,6,8,4
g3,1,7,7,4,9,9
g4,5,3,4,3,2,2
g5,7,6,5,7,6,8
g6,9,5,6,2,3,5
g7,6,1,1,8,1,3
g8,2,2,2,9,4,7
g9,3,8,8,5,7,6
