Date,Machine,Group,Island,Open,High,Low,Close,Source,PointCount
2026/08/20,0035,8,s2,0,6943,-1623,6943,image,422
2026/08/20,0036,9,s2,0,830,-7325,-7325,image,422
2026/08/20,0037,1,s2,0,0,-6404,-5570,image,422
2026/08/20,0038,2,s2,0,0,-6754,-5439,image,422
2026/08/20,0039,3,s3,0,4803,-13333,4629,image,422
2026/08/20,0040,4,s3,0,0,-15351,-2105,image,422
2026/08/20,0041,5,s3,0,961,-9649,-9649,image,422
2026/08/20,0042,6,s3,0,12314,-3509,9432,image,422
2026/08/20,0043,7,s3,0,0,-20886,-20886,image,422
2026/08/20,0044,8,s3,0,0,-18070,-12719,image,422
2026/08/20,0045,9,s3,0,262,-15000,-9561,image,422
2026/08/20,0046,1,s3,0,0,-10439,-10175,image,422
2026/08/20,0047,2,s3,0,5677,-5921,5284,image,422
2026/08/20,0048,3,s3,0,0,-21772,-16329,image,422
2026/08/20,0049,4,s3,0,12140,0,4454,image,422
2026/08/20,0050,5,s3,0,8341,-2281,3624,image,422
2026/08/20,0051,6,s3,0,0,-10088,-10088,image,422
2026/08/20,0052,7,s3,0,14410,-5263,12227,image,422
2026/08/20,0053,8,s3,0,961,-13070,-13070,image,422
2026/08/20,0054,9,s3,0,3712,-5439,-351,image,422
2026/08/20,0055,1,s3,0,16856,0,8996,image,422
2026/08/20,0056,2,s3,0,0,-10263,-4649,image,422
2026/08/20,0057,3,s3,0,20209,-2017,5523,image,422
2026/08/20,0058,4,s4,0,0,-15439,-15439,image,422
2026/08/20,0059,5,s4,0,1397,-10175,-7632,image,422
2026/08/20,0060,6,s4,0,0,-14561,-14561,image,422
2026/08/20,0061,7,s4,0,0,-16316,-8596,image,422
2026/08/20,0062,8,s4,0,9476,-1404,6987,image,422
2026/08/20,0063,9,s4,0,25250,-5443,22625,image,422
2026/08/20,0064,1,s4,0,0,-13158,-7544,image,422
2026/08/20,0065,2,s4,0,3144,-12544,-12544,image,422
2026/08/20,0066,3,s4,0,0,-23165,-23165,image,422
2026/08/20,0067,4,s4,0,5066,-2105,437,image,422
2026/08/20,0068,5,s4,0,3144,-13772,-13421,image,422
2026/08/20,0069,6,s4,0,1921,-11140,-11140,image,422
2026/08/20,0070,7,s4,0,8384,-14211,6987,image,422
2026/08/20,0071,8,s4,0,0,-10789,-10000,image,422
2026/08/20,0072,9,s4,0,8122,-2281,5459,image,422
2026/08/20,0073,1,s4,0,0,-13772,-13772,image,422
2026/08/20,0074,2,s4,0,14061,-2018,5677,image,422
2026/08/20,0075,3,s4,0,5197,-5658,5197,image,422
2026/08/20,0076,4,s4,0,46214,-262,45561,image,422
2026/08/20,0077,5,s4,0,3450,-5439,-1711,image,423
2026/08/20,0118,1,s7,0,19825,-2105,18341,image,422
2026/08/20,0119,2,s7,0,0,-3728,-3728,image,422
2026/08/20,0120,3,s7,0,0,-3333,-3202,image,422
2026/08/20,0121,4,s7,0,0,-7763,-7763,image,422
2026/08/20,0148,4,s8,0,524,-8377,-8377,image,422
2026/08/20,0149,5,s8,0,0,-20253,-20253,image,422
2026/08/20,0150,6,s8,0,0,-3114,-3114,image,422
2026/08/20,0151,7,s8,0,0,-13596,-13596,image,422
2026/08/20,0152,8,s8,0,50601,0,50601,image,422
2026/08/20,0153,9,s8,0,0,-3772,-3772,image,422
2026/08/20,0154,1,s9,0,0,-1140,-1140,image,422
2026/08/20,0155,2,s9,0,0,-1140,-1096,image,422
2026/08/20,0156,3,s9,0,37942,0,37942,image,422
2026/08/20,0157,4,s9,0,0,-1711,-1711,image,422
2026/08/20,0158,5,s9,0,0,-5175,-5132,image,422
2026/08/20,0159,6,s9,0,0,-351,-351,image,422
2026/08/20,1173,3,sl1,0,0,-3175,-2825,image,422
2026/08/20,1174,4,sl1,0,52,-1649,-1649,image,422
2026/08/20,1175,5,sl1,0,0,-1149,-1149,image,422
2026/08/20,1176,6,sl1,0,3686,-1211,1991,image,422
2026/08/20,1177,7,sl1,0,0,-2053,-772,image,422
2026/08/20,1178,8,sl1,0,402,-3702,-3702,image,422
2026/08/20,1179,9,sl1,0,0,-1860,-1614,image,422
2026/08/20,1180,1,sl1,0,5914,-667,4950,image,422
2026/08/20,1015,7,sl2,0,0,-702,-702,image,422
2026/08/20,1016,8,sl2,0,0,0,0,image,422
2026/08/20,1017,9,sl2,0,0,-53,-53,image,422
2026/08/20,1018,1,sl2,0,5357,-301,5357,image,422
