centroid_region,phase_convergence,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
TOP,False,20,12,60.0,20,8,40.0
TOP,True,2,2,100.0,2,2,100.0
RIGHT,False,11,6,54.54545454545454,11,8,72.72727272727273
RIGHT,True,3,2,66.66666666666666,2,1,50.0
BOTTOM,False,3,0,0.0,3,2,66.66666666666666
BOTTOM,True,5,2,40.0,5,4,80.0
LEFT,False,14,7,50.0,14,6,42.857142857142854
LEFT,True,2,1,50.0,2,0,0.0
