pattern,samples,next_day_bullish_count,next_day_bullish_rate
UP-UP-UP,8,7,87.5
UP-UP-DOWN,7,1,14.285714285714285
UP-DOWN-UP,6,4,66.66666666666666
UP-DOWN-DOWN,8,5,62.5
DOWN-UP-UP,9,5,55.55555555555556
DOWN-UP-DOWN,5,2,40.0
DOWN-DOWN-UP,6,2,33.33333333333333
DOWN-DOWN-DOWN,10,5,50.0
