centroid_region,high_alignment,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
TOP,False,19,9,47.368421052631575,18,8,44.44444444444444
TOP,True,4,4,100.0,4,2,50.0
RIGHT,False,12,7,58.333333333333336,12,9,75.0
RIGHT,True,3,2,66.66666666666666,3,1,33.33333333333333
BOTTOM,False,5,1,20.0,5,4,80.0
BOTTOM,True,3,1,33.33333333333333,3,2,66.66666666666666
LEFT,False,12,7,58.333333333333336,12,5,41.66666666666667
LEFT,True,3,1,33.33333333333333,3,0,0.0
