category,value,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
TOP_HIGH_ALIGNMENT,TRUE,1,1,100.0,1,0,0.0
TOP_CONVERGENCE,TRUE,0,0,,0,0,
BOTTOM_HIGH_ALIGNMENT,TRUE,5,1,20.0,4,2,50.0
BOTTOM_CONVERGENCE,TRUE,5,1,20.0,4,2,50.0
