date,machine,long_phase,mid_phase,short_phase,long_x,long_y,mid_x,mid_y,short_x,short_y,distance_long_mid,distance_mid_short,distance_short_long,mean_pair_distance,max_pair_distance,min_pair_distance,convergence_score,phase_convergence,centroid_x,centroid_y,centroid_region,bullish,next_day_bullish,wave_direction_pattern
2026-06-27,056,143.4936846387467,229.73280690303557,6.963271019006621,361.7049951783314,106.62970509884033,224.7008415342171,126.2157581575455,305.6053351342781,235.89499605584894,138.39707941339836,136.29039698612283,140.91375838880475,138.53374492944198,140.91375838880475,136.29039698612283,0.3594829164145239,False,297.3370572822755,156.2468197707449,TOP,True,True,DOWN-DOWN-UP
2026-06-28,056,295.3686846387467,257.85780690303557,147.58827101900664,241.9096219341146,217.54444139974643,217.16471307716637,172.17783896796544,356.287991571559,101.34443806821096,51.67629176461825,156.117447141739,163.04861917590324,123.61411936075349,163.04861917590324,51.67629176461825,0.2588699128368035,False,271.78744219428,163.6889061453076,LEFT,True,False,UP-DOWN-DOWN
2026-06-29,056,87.24368463874669,285.98280690303557,288.21327101900664,376.37271825471737,193.6768822843413,233.48570291432003,209.05106916357957,235.40849178366344,211.2531867416041,143.71174195271828,2.923429298532046,142.05576237153133,96.23031120759389,143.71174195271828,2.923429298532046,0.346764809305826,False,281.75563765090027,204.66037939650832,LEFT,False,True,UP-DOWN-DOWN
2026-06-30,056,239.1186846387468,314.10780690303557,68.83827101900658,218.96195729647508,141.5356180485757,259.98578677130655,228.78704394363976,361.96703668205186,213.98782345535352,96.41455235337612,103.04946511466618,160.31149303272377,119.92517016692203,160.31149303272377,96.41455235337612,0.27131139530580106,False,280.3049269166111,194.77016181585634,LEFT,True,False,DOWN-DOWN-UP
2026-07-01,056,30.993684638746686,342.23280690303557,209.46327101900658,326.04009489759665,233.3488179456946,285.49735713852374,235.2594636075122,247.93038867726233,97.82946209508422,40.58773400728327,142.47204088899466,156.41810002679134,113.15929164102307,156.41810002679134,40.58773400728327,0.2890086362418576,False,286.4892802377942,188.81258121609702,LEFT,False,False,UP-DOWN-DOWN
2026-07-02,056,182.86868463874669,10.357806903035623,350.0882710190067,294.4968285156362,80.17789564333756,308.3643172981411,235.76336019730152,291.9997705913499,235.78390851017673,156.20225358683425,16.364559607637254,155.62604710841998,109.39762010096382,156.20225358683425,16.364559607637254,0.2899897564234807,False,298.2869721350424,183.9083881169386,TOP,False,False,DOWN-UP-UP
2026-07-03,056,334.7436846387468,38.482806903035566,130.71327101900658,279.0680990586341,234.3693038777747,332.95006364171024,231.44943147825984,374.9439041868603,125.5078656022369,53.96102076648772,113.96094955727246,145.06199623748577,104.32798885374865,145.06199623748577,53.96102076648772,0.3406272898296101,False,328.9873556290682,197.10886698609048,RIGHT,False,False,UP-UP-DOWN
2026-07-04,056,126.61868463874657,66.60780690303557,271.3382710190068,377.92471877045324,132.0885590795032,359.92856817360155,215.92371303865932,222.76843561208045,191.80424396250075,85.74493848420427,139.26467876963565,166.251120972361,130.4202460754003,166.251120972361,85.74493848420427,0.2443130864892682,False,320.20724085204506,179.93883869355443,RIGHT,False,True,DOWN-UP-DOWN
2026-07-05,056,278.4936846387466,94.73280690303557,51.9632710190067,227.53006645993997,200.82253793997947,380.36533437257634,183.34643729837458,345.904360827803,225.9118298821382,153.83118413235607,54.76651662707322,121.00390959489017,109.86720345143982,153.83118413235607,54.76651662707322,0.300767344852927,False,317.9332538867731,203.3602683734974,RIGHT,True,True,DOWN-UP-UP
2026-07-06,056,70.3686846387468,122.85780690303562,192.5882710190067,363.34015315926536,212.59343008953206,380.1057777061201,138.26088763025825,276.1938694659475,83.39499022114464,76.1998230634812,117.50723966046273,155.84194437307806,116.51633569900734,155.84194437307806,76.1998230634812,0.29162752557691785,False,339.87993344377765,144.74976931364498,TOP,True,False,UP-UP-DOWN
2026-07-07,056,222.24368463874657,150.9828069030355,333.2132710190067,231.63575261118854,114.72016283218959,351.4094755833647,97.32044996617894,277.72157974709745,234.12917080487912,121.0309659650588,155.39154446203943,127.99380706824338,134.80543916511388,155.39154446203943,121.0309659650588,0.29367479789982076,False,286.9222693138836,148.72326120108255,TOP,False,True,DOWN-UP-UP
2026-07-08,056,14.118684638746572,179.10780690303568,113.8382710190067,311.45663257386144,235.54789552169922,301.712758150407,80.01721512419786,383.1755010820886,153.24884845622074,155.83560451222232,109.5401780463638,109.16377259872534,124.8465183857705,155.83560451222232,109.16377259872534,0.2916563431262622,False,332.11496393545235,156.27131970070593,TOP,True,True,UP-DOWN-DOWN
