date,machine,open,high,low,close,bullish,next_day_bullish,wave1_phase,wave2_phase,wave3_phase,wave1_value,wave2_value,wave3_value,combined_wave,wave1_direction,wave2_direction,wave3_direction,wave1_up,wave2_up,wave3_up,wave_direction_pattern
2026-06-27,056,0.0,16750.0,-4984.0,10125.0,True,True,145.79401559557633,227.75780855155776,6.25191994677576,4571.140341557051,3422.7065505419973,-4859.60739898319,3134.2394931158583,falling,falling,rising,False,False,True,DOWN-DOWN-UP
2026-06-28,056,0.0,22929.0,-2491.0,17143.0,True,False,297.6690155955763,255.88280855155776,146.87691994677576,-2566.6422374890144,1241.7983226173994,4094.264577555291,2769.420662683676,turning_up,falling,turning_down,True,False,False,UP-DOWN-DOWN
2026-06-29,056,0.0,2082.0,-10395.0,-9944.0,False,True,89.5440155955763,284.0078085515578,287.5019199467758,-43.98760712464706,-1232.36985704519,-1470.2112355828299,-2746.568699752667,rising,falling,falling,True,False,False,UP-DOWN-DOWN
2026-06-30,056,0.0,7069.0,-7644.0,2931.0,True,False,241.4190155955763,312.13280855155773,68.12691994677573,2644.2294496710692,-3415.5046875575904,-1821.287270041547,-2592.562507928068,turning_down,falling,turning_up,False,False,True,DOWN-DOWN-UP
2026-07-01,056,0.0,0.0,-29872.0,-29872.0,False,False,33.2940155955763,340.25780855155773,208.75191994677573,-4620.016751837485,-4792.042567831858,4285.959432220023,-5126.09988744932,turning_up,falling,turning_down,True,False,False,UP-DOWN-DOWN
2026-07-02,056,0.0,0.0,-9956.0,-7556.0,False,False,185.1690155955763,8.38280855155773,349.37691994677584,5504.752580511114,-5036.903792909229,-4804.8956175478515,-4337.046829945967,turning_down,turning_up,turning_up,False,True,True,DOWN-UP-UP
2026-07-03,056,0.0,2155.0,-8267.0,-3911.0,False,False,337.0440155955762,36.50780855155773,130.00191994677573,-5089.499959620978,-4092.262555055208,3142.50964714256,-6039.252867533626,turning_up,rising,turning_down,True,True,False,UP-UP-DOWN
2026-07-04,056,0.0,517.0,-11022.0,-2489.0,False,True,128.91901559557618,64.63280855155773,270.62691994677596,3472.3238980685555,-2181.202940290207,-53.48999652104966,1237.6309612572986,turning_down,rising,falling,False,True,False,DOWN-UP-DOWN
2026-07-05,056,0.0,11379.0,-6578.0,8966.0,True,True,280.7940155955764,92.75780855155779,51.25191994677584,-1035.132605202288,244.9640452530294,-3059.812994220351,-3849.9815541696094,falling,rising,turning_up,False,True,True,DOWN-UP-UP
2026-07-06,056,0.0,6983.0,-1422.0,1034.0,True,False,72.66901559557641,120.88280855155779,191.87691994677562,-1646.5129861721366,2613.2809413090863,4784.02485625599,5750.792811392939,turning_up,rising,turning_down,True,True,False,UP-UP-DOWN
2026-07-07,056,0.0,1034.0,-15467.0,-1956.0,False,True,224.5440155955764,149.0078085515578,332.50191994677584,3939.322234264137,4364.452018460507,-4336.389451845727,3967.384800878917,turning_down,rising,turning_up,False,True,True,DOWN-UP-UP
2026-07-08,056,0.0,8707.0,-3378.0,2759.0,True,True,16.419015595576184,177.1328085515578,113.12691994677584,-5301.831104863485,5084.925143307755,1920.123896001334,1703.2179344456042,turning_up,turning_down,turning_down,True,False,False,UP-DOWN-DOWN
2026-07-09,056,0.0,28512.0,0.0,26529.0,True,False,168.2940155955764,205.25780855155767,253.75191994677562,5412.272948461138,4604.555204544926,1367.8377651245232,11384.665918130588,turning_down,falling,falling,False,False,False,DOWN-DOWN-DOWN
