n_fft,regime,top_wave_count,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
32,STABLE,2+,2,2,100.0,2,1,50.0
32,TRANSITION,2+,1,1,100.0,1,1,100.0
32,UNSTABLE,2+,1,1,100.0,1,1,100.0
64,STABLE,2+,5,4,80.0,5,2,40.0
64,TRANSITION,2+,1,1,100.0,1,0,0.0
64,UNSTABLE,2+,3,3,100.0,3,2,66.66666666666666
