n_fft,top_wave_count,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
32,0,2,0,0.0,2,2,100.0
32,1,6,3,50.0,6,2,33.33333333333333
32,2,3,3,100.0,3,3,100.0
32,3,1,1,100.0,1,0,0.0
32,2+,4,4,100.0,4,3,75.0
64,0,5,1,20.0,5,4,80.0
64,1,14,6,42.857142857142854,13,7,53.84615384615385
64,2,5,4,80.0,5,1,20.0
64,3,4,4,100.0,4,3,75.0
64,2+,9,8,88.88888888888889,9,4,44.44444444444444
