date,n_observations,n_fft,n_fft_changed,long_k,mid_k,short_k,long_frequency,mid_frequency,short_frequency,long_period,mid_period,short_period,dominant_rank_signature,regime,period_stability_score,joint_repeat_period,long_phase,mid_phase,short_phase,top_wave_count,top_wave_pattern,centroid_region,centroid_y_offset,alignment_score,convergence_score,bullish,next_day_bullish
2026-07-26,30,32,False,3,4,14,0.09375,0.125,0.4375,10.666666666666666,8.0,2.2857142857142856,1-2-3,UNSTABLE,0.23809523809523814,32,49.367069583285456,61.08323218697319,302.24289087769193,0,NONE,BOTTOM,33.32120868749476,0.6150612206597151,0.5168742185055291,False,True
2026-07-27,31,32,False,3,4,14,0.09375,0.125,0.4375,10.666666666666666,8.0,2.2857142857142856,1-2-3,STABLE,1.0,32,80.80442821505608,103.9283329769853,96.9810012487851,2,MID+SHORT,RIGHT,-6.311527202278171,0.985756693565326,0.8446555641331124,True,True
2026-07-28,32,32,False,3,4,14,0.09375,0.125,0.4375,10.666666666666666,8.0,2.2857142857142856,1-2-3,STABLE,1.0,32,114.42615867313907,148.87388932817316,254.6582042355949,3,LONG+MID+SHORT,TOP,-50.27442877954198,0.5341627554148616,0.24039490301979838,True,False
2026-07-29,33,64,True,5,27,28,0.078125,0.421875,0.4375,12.8,2.3703703703703702,2.2857142857142856,1-2-3,UNSTABLE,,64,56.915355031550234,312.55730808597855,49.18609342492891,0,NONE,BOTTOM,36.15664192158556,0.6875880276872093,0.5801362627974923,False,False
2026-07-30,34,64,False,5,11,27,0.078125,0.171875,0.421875,12.8,5.818181818181818,2.3703703703703702,1-3-2,UNSTABLE,0.0,64,80.47659322126901,98.71592242519728,40.69000161818485,1,MID,RIGHT,13.406618720683213,0.9125941394523623,0.6774144461153501,False,True
2026-07-31,35,64,False,5,11,27,0.078125,0.171875,0.421875,12.8,5.818181818181818,2.3703703703703702,1-3-2,STABLE,1.0,64,108.53061881654116,250.69093156815597,102.45764118054831,3,LONG+MID+SHORT,RIGHT,-25.209035329699844,0.43575195472402445,0.23999117364400513,True,True
2026-08-01,36,64,False,5,11,27,0.078125,0.171875,0.421875,12.8,5.818181818181818,2.3703703703703702,1-3-2,STABLE,1.0,64,137.30743452724414,43.91047526213788,164.6210890804232,2,LONG+SHORT,TOP,-46.663076873668075,0.6357064860795775,0.34165384022595613,True,False
