score_bin,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
0.0-0.2,2,1,50.0,2,1,50.0
0.2-0.4,17,6,35.294117647058826,17,10,58.82352941176471
0.4-0.6,21,11,52.38095238095239,20,10,50.0
0.6-0.8,9,7,77.77777777777779,9,5,55.55555555555556
0.8-1.0,12,7,58.333333333333336,12,5,41.66666666666667
