score_bin,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
0.0-0.2,0,0,,0,0,
0.2-0.4,42,23,54.761904761904766,42,20,47.61904761904761
0.4-0.6,9,3,33.33333333333333,8,6,75.0
0.6-0.8,4,2,50.0,4,2,50.0
0.8-1.0,5,4,80.0,5,3,60.0
