preprocessing,rank,role,frequency,period_days,amplitude,phase,relative_power,phase_definition,n_observations,n_fft,sampling_interval,frequency_unit,period_basis
raw_close,1,SHORT,0.421875,2.3703703703703702,5709.990492446168,323.3700644915976,0.1014134696744094,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
raw_close,2,MID,0.171875,5.818181818181818,5449.848509907628,336.64989110647343,0.09238335539952411,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
raw_close,3,LONG,0.078125,12.8,5343.620206873329,53.09519415958195,0.08881698741672611,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,1,SHORT,0.421875,2.3703703703703702,5687.391957565908,323.17659598204403,0.09988794783443283,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,2,LONG,0.078125,12.8,5538.305727881656,56.19214659018938,0.09471976765965777,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,3,MID,0.171875,5.818181818181818,5407.563803877556,337.70641240148973,0.09030048367045483,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,1,SHORT,0.421875,2.3703703703703702,5713.202271319794,323.2426771164901,0.10104968398873361,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,2,LONG,0.078125,12.8,5531.376179724865,56.240016021094796,0.0947201003693796,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,3,MID,0.171875,5.818181818181818,5449.283471811612,337.70483210314035,0.09192942851955134,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,1,SHORT,0.421875,2.3703703703703702,5687.391957565909,323.17659598204403,0.09988794783443287,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,2,LONG,0.078125,12.8,5538.305727881659,56.19214659018939,0.09471976765965784,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,3,MID,0.171875,5.818181818181818,5407.563803877556,337.70641240148973,0.09030048367045482,"0=trough, 90=rising, 180=crest, 270=falling",57,64,1.0,cycles/observation,observations (not calendar days)
