scope,samples,mean_predicted_probability,actual_transform_count,actual_transform_rate,brier_score
overall,31,0.6146560846560847,18,0.5806451612903226,0.26909431426891744
0-20%,5,0.0,1,0.2,0.2
20-40%,1,0.3333333333333333,1,1.0,0.44444444444444453
40-60%,6,0.5119047619047619,2,0.3333333333333333,0.26608843537414967
60-80%,7,0.7301587301587301,7,1.0,0.07451499118165786
80-100%,11,0.9021645021645022,6,0.5454545454545454,0.4100226757369615
NO_SUPPORT,1,,1,1.0,
