group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,5,8,8,1,2,1
g2,8,7,7,2,5,6
g3,4,1,1,3,7,3
g4,7,2,2,8,4,4
g5,2,3,3,5,8,9
g6,1,9,9,7,1,7
g7,3,5,4,6,9,5
g8,6,4,5,9,3,8
g9,9,6,6,4,6,2
