group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,0,0,0,
g1,12-15,12:00,15:00,7,24,31,3.4286
g1,15-18,15:00,18:00,9,27,36,3.0
g1,18-close,18:00,24:00,2,4,6,2.0
g2,09-12,09:00,12:00,1,1,2,1.0
g2,12-15,12:00,15:00,8,8,16,1.0
g2,15-18,15:00,18:00,5,9,14,1.8
g2,18-close,18:00,24:00,2,7,9,3.5
g3,09-12,09:00,12:00,2,6,8,3.0
g3,12-15,12:00,15:00,4,21,25,5.25
g3,15-18,15:00,18:00,15,27,42,1.8
g3,18-close,18:00,24:00,3,3,6,1.0
g4,09-12,09:00,12:00,3,9,12,3.0
g4,12-15,12:00,15:00,5,12,17,2.4
g4,15-18,15:00,18:00,5,9,14,1.8
g4,18-close,18:00,24:00,7,29,36,4.1429
g5,09-12,09:00,12:00,1,6,7,6.0
g5,12-15,12:00,15:00,9,12,21,1.3333
g5,15-18,15:00,18:00,4,10,14,2.5
g5,18-close,18:00,24:00,4,4,8,1.0
g6,09-12,09:00,12:00,0,0,0,
g6,12-15,12:00,15:00,6,14,20,2.3333
g6,15-18,15:00,18:00,4,5,9,1.25
g6,18-close,18:00,24:00,3,11,14,3.6667
g7,09-12,09:00,12:00,2,0,2,0.0
g7,12-15,12:00,15:00,6,11,17,1.8333
g7,15-18,15:00,18:00,4,17,21,4.25
g7,18-close,18:00,24:00,1,3,4,3.0
g8,09-12,09:00,12:00,3,9,12,3.0
g8,12-15,12:00,15:00,3,10,13,3.3333
g8,15-18,15:00,18:00,6,17,23,2.8333
g8,18-close,18:00,24:00,4,3,7,0.75
g9,09-12,09:00,12:00,3,7,10,2.3333
g9,12-15,12:00,15:00,10,23,33,2.3
g9,15-18,15:00,18:00,8,17,25,2.125
g9,18-close,18:00,24:00,3,10,13,3.3333
