group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",18,55,73,3.0556,46906
g2,4,"047,056,065,074",16,25,41,1.5625,-6083
g3,5,"039,048,057,066,075",24,57,81,2.375,18958
g4,5,"040,049,058,067,076",20,59,79,2.95,4998
g5,5,"041,050,059,068,077",18,32,50,1.7778,-25772
g6,4,"042,051,060,069",13,30,43,2.3077,-8622
g7,4,"043,052,061,070",13,31,44,2.3846,-159
g8,4,"044,053,062,071",16,39,55,2.4375,-11650
g9,4,"045,054,063,072",24,57,81,2.375,45161
