order,time,machine,group,source
1,10:27,0057,g3,PSCUBE history CSV status=初当り
2,10:32,0058,g4,PSCUBE history CSV status=初当り
3,10:38,0059,g5,PSCUBE history CSV status=初当り
4,10:53,0040,g4,PSCUBE history CSV status=初当り
5,11:06,0062,g8,PSCUBE history CSV status=初当り
6,11:07,0052,g7,PSCUBE history CSV status=初当り
7,11:16,0053,g8,PSCUBE history CSV status=初当り
8,11:24,0054,g9,PSCUBE history CSV status=初当り
9,11:35,0066,g3,PSCUBE history CSV status=初当り
10,11:37,0067,g4,PSCUBE history CSV status=初当り
11,11:47,0045,g9,PSCUBE history CSV status=初当り
12,11:49,0047,g2,PSCUBE history CSV status=初当り
13,11:51,0063,g9,PSCUBE history CSV status=初当り
14,12:02,0074,g2,PSCUBE history CSV status=初当り
15,12:06,0068,g5,PSCUBE history CSV status=初当り
16,12:07,0055,g1,PSCUBE history CSV status=初当り
17,12:19,0043,g7,PSCUBE history CSV status=初当り
18,12:29,0051,g6,PSCUBE history CSV status=初当り
19,12:59,0048,g3,PSCUBE history CSV status=初当り
20,13:19,0039,g3,PSCUBE history CSV status=初当り
21,13:21,0070,g7,PSCUBE history CSV status=初当り
22,13:25,0056,g2,PSCUBE history CSV status=初当り
23,13:37,0072,g9,PSCUBE history CSV status=初当り
24,13:41,0061,g7,PSCUBE history CSV status=初当り
25,13:45,0050,g5,PSCUBE history CSV status=初当り
26,13:46,0041,g5,PSCUBE history CSV status=初当り
27,13:53,0044,g8,PSCUBE history CSV status=初当り
28,13:55,0060,g6,PSCUBE history CSV status=初当り
29,13:55,0064,g1,PSCUBE history CSV status=初当り
30,14:14,0075,g3,PSCUBE history CSV status=初当り
31,14:20,0069,g6,PSCUBE history CSV status=初当り
32,14:21,0042,g6,PSCUBE history CSV status=初当り
33,14:37,0073,g1,PSCUBE history CSV status=初当り
34,14:55,0046,g1,PSCUBE history CSV status=初当り
35,14:57,0077,g5,PSCUBE history CSV status=初当り
36,15:10,0071,g8,PSCUBE history CSV status=初当り
37,15:40,0076,g4,PSCUBE history CSV status=初当り
38,16:24,0049,g4,PSCUBE history CSV status=初当り
