Date,Machine,Group,Island,Open,High,Low,Close,Source,PointCount
2026/08/22,0035,8,s2,0,15172,-1600,13621,svg,36
2026/08/22,0036,9,s2,0,2414,-7467,-4711,svg,40
2026/08/22,0037,1,s2,0,2241,-7733,-7644,svg,44
2026/08/22,0038,2,s2,0,2759,-4178,-4178,svg,38
2026/08/22,0039,3,s3,0,0,-12978,-12978,svg,34
2026/08/22,0040,4,s3,0,11897,-178,7069,svg,37
2026/08/22,0041,5,s3,0,7328,-3556,4569,svg,45
2026/08/22,0042,6,s3,0,0,-18311,-6222,svg,38
2026/08/22,0043,7,s3,0,22810,-7149,20826,svg,42
2026/08/22,0044,8,s3,0,1379,-4800,-4800,svg,44
2026/08/22,0045,9,s3,0,0,-16000,-7644,svg,44
2026/08/22,0046,1,s3,0,22562,-2298,17107,svg,40
2026/08/22,0047,2,s3,0,0,-7733,-7733,svg,45
2026/08/22,0048,3,s3,0,0,-13333,-7822,svg,46
2026/08/22,0049,4,s3,0,13448,-3733,13448,svg,45
2026/08/22,0050,5,s3,0,9569,-5244,-1422,svg,44
2026/08/22,0051,6,s3,0,17069,-9244,16552,svg,49
2026/08/22,0052,7,s3,0,0,-12089,-10667,svg,41
2026/08/22,0053,8,s3,0,7931,-9067,5690,svg,46
2026/08/22,0054,9,s3,0,35641,-1299,35641,svg,45
2026/08/22,0055,1,s3,0,6034,-10667,-10667,svg,45
2026/08/22,0056,2,s3,0,0,-19022,-16178,svg,46
2026/08/22,0057,3,s3,0,4483,-7378,431,svg,43
2026/08/22,0058,4,s4,0,5000,-17600,-16533,svg,45
2026/08/22,0059,5,s4,0,31026,-519,27949,svg,42
2026/08/22,0060,6,s4,0,0,-16178,-15111,svg,45
2026/08/22,0061,7,s4,0,1207,-17778,-11022,svg,50
2026/08/22,0062,8,s4,0,0,-10489,-8178,svg,42
2026/08/22,0063,9,s4,0,8448,-5156,-5156,svg,47
2026/08/22,0064,1,s4,0,17069,-533,6034,svg,42
2026/08/22,0065,2,s4,0,10744,-13277,8926,svg,42
2026/08/22,0066,3,s4,0,0,-15289,-15289,svg,41
2026/08/22,0067,4,s4,0,9397,-7644,0,svg,44
2026/08/22,0068,5,s4,0,13966,-8178,6379,svg,51
2026/08/22,0069,6,s4,0,12759,-4800,9655,svg,43
2026/08/22,0070,7,s4,0,14828,-4267,2759,svg,48
2026/08/22,0071,8,s4,0,0,-16711,-16711,svg,45
2026/08/22,0072,9,s4,0,3448,-10844,3276,svg,47
2026/08/22,0073,1,s4,0,0,-15467,-11556,svg,41
2026/08/22,0074,2,s4,0,0,-19733,-19200,svg,43
2026/08/22,0075,3,s4,0,12759,-178,8103,svg,36
2026/08/22,0076,4,s4,0,6379,-4711,4655,svg,36
2026/08/22,0077,5,s4,0,11724,-2311,5345,svg,43
2026/08/22,0118,1,s7,0,0,-11733,-11733,svg,45
2026/08/22,0119,2,s7,0,5172,0,1638,svg,43
2026/08/22,0120,3,s7,0,15172,-8889,15172,svg,51
2026/08/22,0121,4,s7,0,0,-14933,-14933,svg,39
2026/08/22,0148,4,s8,0,1207,-4889,-4356,svg,48
2026/08/22,0149,5,s8,0,8017,-6756,-444,svg,42
2026/08/22,0150,6,s8,0,0,-12800,-12800,svg,37
2026/08/22,0151,7,s8,0,0,-8178,-8178,svg,36
2026/08/22,0152,8,s8,0,0,-9778,-9778,svg,36
2026/08/22,0153,9,s8,0,0,-14044,-9778,svg,46
2026/08/22,0154,1,s9,0,12241,-4089,7931,svg,29
2026/08/22,0155,2,s9,0,6724,-11733,6724,svg,38
2026/08/22,0156,3,s9,0,0,-4178,-4178,svg,33
2026/08/22,0157,4,s9,0,2672,-8533,259,svg,37
2026/08/22,0158,5,s9,0,690,-16356,-16356,svg,34
2026/08/22,0159,6,s9,0,4483,-14044,4483,svg,36
2026/08/22,1015,7,sl2,0,3759,-747,2862,svg,48
2026/08/22,1016,8,sl2,0,0,-1209,-1209,svg,44
2026/08/22,1017,9,sl2,0,0,-3876,-3804,svg,37
2026/08/22,1018,1,sl2,0,3688,-2455,3546,svg,51
2026/08/22,1173,3,sl1,0,0,-4375,-4116,svg,34
2026/08/22,1174,4,sl1,0,0,-2204,-1031,svg,39
2026/08/22,1175,5,sl1,0,3172,-462,1138,svg,38
2026/08/22,1176,6,sl1,0,1931,-2987,-2844,svg,35
2026/08/22,1177,7,sl1,0,0,-2418,-1920,svg,47
2026/08/22,1178,8,sl1,0,207,-1778,-1600,svg,30
2026/08/22,1179,9,sl1,0,0,-1991,-1529,svg,31
2026/08/22,1180,1,sl1,0,931,-373,207,svg,37
